Participant,Session,Radius_pre,Radius_post,Metric_pre,Metric_post,Correlation,p_value,Network
P1,S1,20,100,Salience,Salience,0.42407472149434566,0.009949476672833083,SalVentAttn
P1,S1,20,100,Salience,Entrainment,0.25837611299244556,0.1281309893514057,SalVentAttn
P1,S1,20,100,Salience,Fluidity,0.3444662933896837,0.03965774157689357,SalVentAttn
P1,S1,20,100,Salience,Complexity,-0.3476631573182345,0.03773976703939688,SalVentAttn
P1,S1,20,100,Entrainment,ZCR,0.0030426808953604306,0.9859485351082076,SalVentAttn
P1,S1,20,100,Entrainment,Salience,0.029236412904179866,0.8655892570377182,SalVentAttn
P1,S1,20,100,Entrainment,Entrainment,0.1665718904863706,0.33156544646916797,SalVentAttn
P1,S1,20,100,Entrainment,Fluidity,0.2562932524741215,0.13134505297279886,SalVentAttn
P1,S1,20,100,Entrainment,Complexity,-0.2268487518582737,0.1833604190756596,SalVentAttn
P1,S1,20,100,Fluidity,ZCR,0.3774738325153546,0.023231361036283128,SalVentAttn
P1,S1,20,100,Fluidity,Salience,-0.404143675745424,0.014502026118254904,SalVentAttn
P1,S1,20,100,Fluidity,Entrainment,-0.18582295307910165,0.2778886462165464,SalVentAttn
P1,S1,20,100,Fluidity,Fluidity,0.02233769051923197,0.8971106967129137,SalVentAttn
P1,S1,20,100,Fluidity,Complexity,0.11483843355758737,0.5048198372647446,SalVentAttn
P1,S1,20,100,Complexity,ZCR,0.11994066321923248,0.485947899502028,SalVentAttn
P1,S1,20,100,Complexity,Salience,-0.1342595084647438,0.43499553523718154,SalVentAttn
P1,S1,20,100,Complexity,Entrainment,-0.07127889776325763,0.6795287979208605,SalVentAttn
P1,S1,20,100,Complexity,Fluidity,0.016312438598892677,0.9247702726012503,SalVentAttn
P1,S1,20,100,Complexity,Complexity,0.09450783021612764,0.5835102618312826,SalVentAttn
P1,S1,30,5,ZCR,ZCR,-0.26054454111644704,0.12484731395203741,SalVentAttn
P1,S1,30,5,ZCR,Salience,-0.1879482039663278,0.2723313269953478,SalVentAttn
P1,S1,30,5,ZCR,Entrainment,0.0388417049969893,0.822049124597374,SalVentAttn
P1,S1,30,5,ZCR,Fluidity,0.15755682433734414,0.35876112196245646,SalVentAttn
P1,S1,30,5,ZCR,Complexity,-0.12097218755060987,0.48217736366081554,SalVentAttn
P1,S1,30,5,Salience,ZCR,0.0843191286991495,0.6248895409787267,SalVentAttn
P1,S1,30,5,Salience,Salience,0.43629813254368244,0.0078100234426372196,SalVentAttn
P1,S1,30,5,Salience,Entrainment,0.17695516871884182,0.3018676179194556,SalVentAttn
P1,S1,30,5,Salience,Fluidity,-0.10230790926789893,0.5526826080593791,SalVentAttn
P1,S1,30,5,Salience,Complexity,0.008830561982418772,0.9592343482833529,SalVentAttn
P1,S1,30,5,Entrainment,ZCR,0.3166990403028279,0.05984982737346016,SalVentAttn
P1,S1,30,5,Entrainment,Salience,-0.08329720870103517,0.6291057722127531,SalVentAttn
P1,S1,30,5,Entrainment,Entrainment,-0.11912771168865656,0.48893018210953054,SalVentAttn
P1,S1,30,5,Entrainment,Fluidity,0.035781047809770074,0.835872554386104,SalVentAttn
P1,S1,30,5,Entrainment,Complexity,0.12378859487730255,0.4719604014070224,SalVentAttn
P1,S1,30,5,Fluidity,ZCR,-0.1708763273765559,0.31904220782955944,SalVentAttn
P1,S1,30,5,Fluidity,Salience,-0.1901867620488522,0.26655682107423156,SalVentAttn
P1,S1,30,5,Fluidity,Entrainment,-0.18167458872274567,0.28894719808554203,SalVentAttn
P1,S1,30,5,Fluidity,Fluidity,-0.16676244460069645,0.33100471817718596,SalVentAttn
P1,S1,30,5,Fluidity,Complexity,0.3230950886585172,0.05459815494175109,SalVentAttn
P1,S1,30,5,Complexity,ZCR,-0.3197511637451411,0.057295995108601956,SalVentAttn
P1,S1,30,5,Complexity,Salience,-0.21254237643380802,0.21330577417884924,SalVentAttn
P1,S1,30,5,Complexity,Entrainment,-0.024887956828808372,0.8854374134379889,SalVentAttn
P1,S1,30,5,Complexity,Fluidity,-0.02881566076801384,0.8675064067794268,SalVentAttn
P1,S1,30,5,Complexity,Complexity,0.08488198166236602,0.6225723121454845,SalVentAttn
P1,S1,30,50,ZCR,ZCR,0.07941531142897237,0.6452262662290399,SalVentAttn
P1,S1,30,50,ZCR,Salience,-0.33898485830515185,0.04312966571177308,SalVentAttn
P1,S1,30,50,ZCR,Entrainment,-0.08446904139839616,0.6242720128769491,SalVentAttn
P1,S1,30,50,ZCR,Fluidity,-0.027630756811185465,0.8729093673123525,SalVentAttn
P1,S1,30,50,ZCR,Complexity,0.2079414813071795,0.2236142445601647,SalVentAttn
P1,S1,30,50,Salience,ZCR,-0.17262843281842602,0.3140305274107814,SalVentAttn
